SFrame Completed
+--------------------------+------+-------------------------------+
|          image           | name |          annotations          |
+--------------------------+------+-------------------------------+
|  Height: 640 Width: 480  | 104  | [{'label': 'text', 'coordi... |
| Height: 2592 Width: 3888 | 196  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 161  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 151  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 100  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 290  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 260  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 291  | [{'label': 'text', 'coordi... |
| Height: 960 Width: 1280  | 112  | [{'label': 'text', 'coordi... |
|  Height: 640 Width: 480  | 211  | [{'label': 'text', 'coordi... |
+--------------------------+------+-------------------------------+
[200 rows x 3 columns]
Note: Only the head of the SFrame is printed.
You can use print_rows(num_rows=m, num_columns=n) to print more rows and columns.
Setting 'batch_size' to 128
Using GPUs to create model (GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti)
Setting 'max_iterations' to 1000
+--------------+--------------+--------------+
| Iteration    | Loss         | Elapsed Time |
+--------------+--------------+--------------+
| 753          | 1.590        | 7389.1       |
| 754          | 1.592        | 7399.8       |
| 756          | 1.600        | 7418.5       |
| 758          | 1.590        | 7438.1       |
| 759          | 1.570        | 7448.9       |
| 761          | 1.578        | 7469.6       |
| 763          | 1.567        | 7488.7       |
| 765          | 1.556        | 7507.6       |
| 766          | 1.581        | 7518.4       |
| 768          | 1.580        | 7536.6       |
| 769          | 1.584        | 7547.8       |
| 770          | 1.586        | 7558.9       |
| 772          | 1.603        | 7578.2       |
| 774          | 1.587        | 7597.1       |
| 775          | 1.591        | 7607.3       |
| 777          | 1.595        | 7626.9       |
| 778          | 1.583        | 7637.5       |
| 780          | 1.582        | 7656.5       |
| 782          | 1.584        | 7677.1       |
| 784          | 1.558        | 7696.4       |
| 785          | 1.567        | 7706.6       |
| 787          | 1.559        | 7725.9       |
| 788          | 1.563        | 7736.3       |
| 790          | 1.567        | 7755.0       |
| 791          | 1.556        | 7765.3       |
| 793          | 1.566        | 7783.5       |
| 794          | 1.579        | 7793.6       |
| 795          | 1.562        | 7803.6       |
| 796          | 1.568        | 7814.1       |
| 798          | 1.560        | 7833.5       |
| 800          | 1.569        | 7852.4       |
| 802          | 1.595        | 7873.9       |
| 804          | 1.578        | 7891.5       |
| 805          | 1.588        | 7901.6       |
| 807          | 1.597        | 7921.5       |
| 809          | 1.578        | 7940.4       |
| 811          | 1.571        | 7960.3       |
| 812          | 1.567        | 7970.4       |
| 814          | 1.567        | 7990.0       |
| 816          | 1.572        | 8010.6       |
| 818          | 1.553        | 8028.8       |
| 819          | 1.547        | 8040.2       |
| 821          | 1.564        | 8059.6       |
| 822          | 1.554        | 8069.7       |
| 824          | 1.581        | 8089.0       |
| 826          | 1.565        | 8106.3       |
| 827          | 1.547        | 8117.6       |
| 828          | 1.556        | 8127.8       |
| 830          | 1.552        | 8147.0       |
| 832          | 1.565        | 8166.4       |
| 833          | 1.567        | 8177.3       |
| 835          | 1.582        | 8196.2       |
| 837          | 1.578        | 8215.2       |
| 838          | 1.591        | 8225.7       |
| 840          | 1.576        | 8245.2       |
| 841          | 1.568        | 8256.2       |
| 843          | 1.565        | 8274.3       |
| 844          | 1.589        | 8284.4       |
| 845          | 1.574        | 8295.0       |
| 847          | 1.572        | 8314.6       |
| 848          | 1.576        | 8324.8       |
| 850          | 1.579        | 8344.5       |
| 852          | 1.580        | 8365.3       |
| 854          | 1.579        | 8385.0       |
| 855          | 1.574        | 8395.7       |
| 857          | 1.575        | 8414.9       |
| 859          | 1.570        | 8433.7       |
| 861          | 1.586        | 8452.6       |
| 863          | 1.589        | 8471.6       |
| 865          | 1.586        | 8491.8       |
| 866          | 1.599        | 8503.1       |
| 868          | 1.577        | 8523.4       |
| 870          | 1.581        | 8542.3       |
| 871          | 1.577        | 8553.4       |
| 873          | 1.589        | 8570.8       |
| 875          | 1.575        | 8590.8       |
| 876          | 1.590        | 8601.6       |
| 878          | 1.573        | 8620.9       |
| 879          | 1.562        | 8631.3       |
| 881          | 1.587        | 8651.4       |
| 883          | 1.578        | 8669.6       |
| 884          | 1.581        | 8680.4       |
| 886          | 1.584        | 8700.0       |
| 888          | 1.593        | 8720.4       |
| 890          | 1.571        | 8739.9       |
| 892          | 1.575        | 8759.7       |
| 894          | 1.580        | 8779.4       |
| 896          | 1.563        | 8799.3       |
| 898          | 1.579        | 8818.4       |
| 899          | 1.573        | 8829.2       |
| 901          | 1.584        | 8850.0       |
| 903          | 1.580        | 8868.1       |
| 905          | 1.589        | 8888.7       |
| 907          | 1.571        | 8907.2       |
| 908          | 1.565        | 8917.4       |
| 910          | 1.558        | 8938.1       |
| 912          | 1.578        | 8956.5       |
| 914          | 1.570        | 8976.2       |
| 915          | 1.574        | 8986.2       |
| 917          | 1.580        | 9006.3       |
| 919          | 1.593        | 9027.3       |
| 921          | 1.596        | 9047.4       |
| 923          | 1.590        | 9064.7       |
| 924          | 1.593        | 9076.6       |
| 926          | 1.574        | 9096.6       |
| 928          | 1.564        | 9115.2       |
| 930          | 1.565        | 9134.7       |
| 932          | 1.560        | 9154.6       |
| 934          | 1.552        | 9174.1       |
| 936          | 1.556        | 9194.8       |
| 937          | 1.551        | 9205.0       |
| 939          | 1.561        | 9223.7       |
| 940          | 1.564        | 9234.5       |
| 942          | 1.557        | 9254.1       |
| 944          | 1.557        | 9274.1       |
| 945          | 1.560        | 9284.1       |
| 947          | 1.548        | 9302.8       |
| 948          | 1.551        | 9313.4       |
| 949          | 1.550        | 9323.5       |
| 951          | 1.547        | 9342.0       |
